id	label	reason	evidence	n_raw	n_tissues_or_organs	primary_factor_candidate	instrument	quant	priority
PXD013868	promoted_datasets	Annotated datasets/PXD013868/PXD013868-tissue-atlas.sdrf.tsv; the dedicated Arabidopsis proteomic tissue atlas — 8 organs (leaf/root/stem/flower/fruit/seed/pollen/callus), hSAX-fractionated LFQ, 720 rows; per-file organism part+age carried from the dataset's deposited SDRF	PRIDE title Arabidopsis proteomic tissue atlas; deposited sdrf.tsv + RawfileAnnotations_Experiment.csv (Experiment series=Tissue atlas, Full proteome)	1561 (720 tissue-atlas)	8	organism part	Q Exactive HF	LFQ	1
PXD014032	promoted_datasets	Annotated datasets/PXD014032/PXD014032-tissue.sdrf.tsv; tissue-specific DIA subset — stem/root/silique/cell culture, gas-phase fractionated, 24 rows (adds silique); ABA-treatment timepoints excluded	PRIDE + DOI 10.1038/s41597-019-0294-0; file names {N}{tissue}_{mz-window}Da_DIA_{rep}.raw	78 (24 tissue)	4	organism part (+ ABA series excluded)	Orbitrap Fusion Lumos	DIA	2
PXD018814	include	Developmental expression atlas (leaf/flower/silique/seed across developmental stages), TMT10/TMT6; mapping files present (RawfileAnnotations + ReporterAnnotations) but stage codes (SQ/EB/FL/LF) need the paper to decode TMT channel -> tissue/stage	PRIDE title Expression profiling of Arabidopsis leaf, flower and fruit development; deposited Reporter/Raw annotation CSVs	216	4 (x dev stages)	organism part + developmental stage	Q Exactive HF	TMT	2
PXD012708	include	Comprehensive Arabidopsis proteome spectral library across 8 parts (cell/flower/leaf/root/rosette/seed/stem); DDA library build rather than quantitative expression, but broad tissue coverage	PRIDE title Comprehensive Arabidopsis Proteome Spectral Library	474	8	organism part (library)	Orbitrap Fusion Lumos	library	3
PXD012710	include	Arabidopsis proteome spectral library (TripleTOF), 7 parts; companion library build	PRIDE title Arabidopsis proteome spectral library	722	7	organism part (library)	TripleTOF 5600	library	3
PRD000349	uncertain	pep2pro organ-specific proteome map, 12 parts (carpel/cotyledon/flower/leaf/pollen/root/seed/shoot/silique...); landmark organ map but legacy PRD accession (LTQ, 2010) - raw/format recovery needed	PRD title pep2pro TAIR9 wos organ-specific proteome map	unclear	12	organism part	LTQ	spectral counting	3
PRD000044	uncertain	High-density organ-specific proteome map, 9 parts; legacy PRD accession	PRD title A high-density organ-specific proteome map for Arabidopsis thaliana	unclear	9	organism part	LTQ	spectral counting	3
PXD005408	uncertain	Multiple Marker Abundance Profiling across 7 parts (leaf/root/rosette/shoot/cell), SRM + DDA; mixed targeted/discovery design	PRIDE title Multiple Marker Abundance Profiling	unclear	7	organism part + assay type	TripleTOF 5600 / Q Exactive	NSAF/SRM	4
PXD019691	uncertain	Tissue-specific expression + phosphorylation, iTRAQ, flower/root/rosette/whole-body; iTRAQ channel mapping needed	PRIDE title Whole-Genome Wide Quantitative Proteomics ... Tissue-Specific Expression and Phosphorylation	unclear	5	organism part + PTM	LTQ Orbitrap Elite	iTRAQ	4
PXD031348	exclude	S-acylation atlas (hypocotyl/leaf/meristem/seedling/silique/stem) but primary aim is protein S-acylation (PTM enrichment), not expression	PRIDE title An atlas of Arabidopsis protein S-Acylation	unclear	6	PTM enrichment	Orbitrap Exploris 480	TIC	4
