id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD022713	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD022713; files/all n=19	Q0	10	Toxoplasma gondii me49;Homo sapiens (human)	19	12	raw	DDA	LFQ	Q Exactive HF-X	yes	yes	SDRF_ND9.tsv	simple	12	ms-proteomics	none_in_pride	no	deposited: SDRF_ND9.tsv
PXD022725	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD022725; files/all n=12	Q0	10	Toxoplasma gondii me49;Homo sapiens (human)	12	4	raw	DDA	LFQ	Q Exactive HF-X	yes	yes	SDRF_ND10.tsv	simple	4	ms-proteomics	none_in_pride	no	deposited: SDRF_ND10.tsv
PXD023801	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD023801; files/all n=60	Q0	10	Naja ashei	60	7	raw	DDA	LFQ	Q Exactive	yes	yes	sdrf.tsv	simple	7	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv
PXD032691	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD032691; files/all n=17	Q0	10	Abortiporus biennis	17	5	raw	DDA	LFQ	Q Exactive	yes	yes	sdrf_PXD032691.tsv	simple	5	ms-proteomics	none_in_pride	no	deposited: sdrf_PXD032691.tsv
PXD035035	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD035035; files/all n=12	Q0	10	Escherichia coli	12	9	raw	DIA	LFQ	Q Exactive HF	yes	yes	SDRF.tsv	simple	9	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: SDRF.tsv
PXD035553	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD035553; files/all n=44	Q0	10	Plasmodium falciparum	44	9	raw	DDA	LFQ	Q Exactive HF	yes	yes	sdrf-default_OOM_220510_TurnoID.tsv	simple	9	ms-proteomics	none_in_pride	no	deposited: sdrf-default_OOM_220510_TurnoID.tsv
PXD035795	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD035795; files/all n=23	Q0	10	Arabidopsis thaliana (mouse-ear cress)	23	6	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF.txt	simple	6	ms-proteomics;plants	none_in_pride	no	deposited: SDRF.txt
PXD037850	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD037850; files/all n=15	Q0	10	Labeo rohita (indian major carp)	15	8	raw	DDA	LFQ	Orbitrap Fusion	yes	yes	SDRF_Ah_Gut_rohu.txt	simple	8	ms-proteomics	none_in_pride	no	deposited: SDRF_Ah_Gut_rohu.txt
PXD037997	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD037997; files/all n=27	Q0	10	Saccharomyces cerevisiae (baker's yeast)	27	12	d.zip	DIA	LFQ	timsTOF Pro	yes	yes	Onetto-sdrf.txt	simple	12	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: Onetto-sdrf.txt
PXD038835	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD038835; files/all n=39	Q0	10	Fusarium oxysporum;Aspergillus transmontanensis	39	4	raw	DDA	LFQ	Q Exactive HF	yes	yes	sdrf.tsv	simple	4	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv
