id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD047534	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD047534; files/all n=20	Q0	10	Streptomyces sp. pu10	20	10	raw	DIA	LFQ	Q Exactive HF	yes	yes	sdrf.tsv	simple	10	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf.tsv
PXD066496	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066496; files/all n=11	Q0	10	Homo sapiens (human)	11	6	raw	DIA	LFQ	Orbitrap Ascend	yes	yes	sdrf-cell-line.sdrf.tsv	simple	6	ms-proteomics;human;dia-acquisition;cell-lines	none_in_pride	no	deposited: sdrf-cell-line.sdrf.tsv
PXD068623	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068623; files/all n=131	Q0	10	Mycobacterium tuberculosis	131	6	raw	DIA	LFQ	Orbitrap Fusion	yes	yes	sdrf.tsv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf.tsv
PXD068927	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068927; files/all n=13	Q0	10	Homo sapiens (human)	13	8	raw	DIA	LFQ	Orbitrap Exploris 480	yes	yes	human_MS_sample.sdrf.tsv	simple	8	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: human_MS_sample.sdrf.tsv
PXD069676	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069676; files/all n=15	Q0	10	Homo sapiens (human)	15	6	raw	DIA	LFQ	LTQ Orbitrap Elite;Orbitrap Astral	yes	yes	SDRFics.txt	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: SDRFics.txt
PXD069946	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069946; files/all n=6	Q0	10	Nicotiana tabacum (common tobacco)	6	2	raw	DIA	LFQ	Orbitrap Exploris 480	yes	yes	sdrf-plants_BP.tsv	simple	2	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf-plants_BP.tsv
PXD070054	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD070054; files/all n=14	Q0	10	Apis mellifera (honeybee)	14	9	raw	DIA	LFQ	Orbitrap Eclipse	yes	yes	Sonter_SDRF.tsv	simple	9	ms-proteomics;invertebrates;dia-acquisition	none_in_pride	no	deposited: Sonter_SDRF.tsv
PXD070162	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD070162; files/all n=16	Q0	10	Chlamydomonas reinhardtii	16	12	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	sdrfile.docx	simple	12	ms-proteomics	none_in_pride	no	deposited: sdrfile.docx
PXD070838	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD070838; files/all n=12	Q0	10	Klebsiella pneumoniae subsp. pneumoniae hs11286	12	6	raw	DIA	LFQ	Orbitrap Astral	yes	yes	SDRF.tsv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: SDRF.tsv
PXD071333	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD071333; files/all n=12	Q0	10	Homo sapiens (human)	12	8	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	sdrf.tsv	simple	8	ms-proteomics;human;cell-lines	none_in_pride	no	deposited: sdrf.tsv
PXD072661	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD072661; files/all n=78	Q0	10	Mus musculus (mouse)	78	6	raw	DIA	LFQ	4800 Proteomics Analyzer	yes	yes	TENT5C.sdrf.tsv	simple	6	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	deposited: TENT5C.sdrf.tsv
PXD072838	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD072838; files/all n=19	Q0	10	Homo sapiens (human)	19	12	d.zip	DIA	LFQ	timsTOF Ultra 2	yes	yes	SDRF_mosaic.tsv	simple	12	ms-proteomics;human;dia-acquisition;cell-lines	none_in_pride	no	deposited: SDRF_mosaic.tsv
PXD073686	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073686; files/all n=12	Q0	10	Mus musculus (mouse)	12	9	raw	DIA	LFQ	Q Exactive HF	yes	yes	intermediate_SDRF.sdrf.tsv	simple	9	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	deposited: intermediate_SDRF.sdrf.tsv
PXD073702	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073702; files/all n=18	Q0	10	Mus musculus (mouse)	18	12	raw	DDA	LFQ	Orbitrap Exploris 480	yes	yes	sample_description.sdrf.txt	simple	12	ms-proteomics;vertebrates	none_in_pride	no	deposited: sample_description.sdrf.txt
PXD073840	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073840; files/all n=153	Q0	10	Mycobacterium tuberculosis h37rv	153	6	raw	DIA	LFQ	Orbitrap Fusion	yes	yes	sdrf.tsv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf.tsv
PXD074506	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD074506; files/all n=14	Q0	10	Sus scrofa domesticus (domestic pig)	14	8	raw	DIA	LFQ	LTQ Orbitrap Elite	yes	yes	SDRF.txt	simple	8	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	deposited: SDRF.txt
