id	deposited_file	classification	n_rows	n_columns	n_raw_expected	row_match	has_source_name	has_assay_name	has_data_file	has_template_declaration	missing_core_columns	action
PXD038367	HFX_SPD.sdrf.tsv	full	128	26	128	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD039582	sdrf_DIA.txt	full	27	19	27	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD039585	sdrf_DDA.txt	full	18	19	18	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD047534	sdrf.tsv	full	10	28	10	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD053930	sdrf-default.txt	full	60	14	60	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD055472	20240830_SDRF_Saliva_final.sdrf	full	581	39	581	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD057984	CHO-cell_Bioreactor_SDRF.sdrf	full	135	13	45	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD058185	SDRF.sdrf	full	25	23	24	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD059631	sdrf.csv	full	20	18	20	yes	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD060259	2023_22_S_Brandenburg_SDRF.tsv	full	30	21	30	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD060267	2023_50_Y_Zuehlke_SDRF.tsv	full	70	23	71	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD060584	SDRF_CAPA-IVM.sdrf.tsv	full	44	22	51	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD063351	SDRF.tsv	full	10	16	17	no	yes	yes	yes	no	technology type;comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD063370	sdrf_validated.txt	full	4160	20	2200	no	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
PXD063718	sdrf-default.sdrf.tsv.tsv	full	12	13	12	yes	yes	yes	yes	no	comment[sdrf version]	validate with parse_sdrf, then sdrf-improve for required columns
