id	normalized	templates	n_rows
PXD049224	sandbox/bulk-lfq-dia-small/normalized/PXD049224.sdrf.tsv	ms-proteomics;vertebrates	2
PXD069946	sandbox/bulk-lfq-dia-small/normalized/PXD069946.sdrf.tsv	ms-proteomics;plants;dia-acquisition	2
PXD022725	sandbox/bulk-lfq-dia-small/normalized/PXD022725.sdrf.tsv	ms-proteomics	4
PXD038835	sandbox/bulk-lfq-dia-small/normalized/PXD038835.sdrf.tsv	ms-proteomics	4
PXD050008	sandbox/bulk-lfq-dia-small/normalized/PXD050008.sdrf.tsv	ms-proteomics;human	4
PXD032691	sandbox/bulk-lfq-dia-small/normalized/PXD032691.sdrf.tsv	ms-proteomics	5
PXD050316	sandbox/bulk-lfq-dia-small/normalized/PXD050316.sdrf.tsv	ms-proteomics	5
PXD054113	sandbox/bulk-lfq-dia-small/normalized/PXD054113.sdrf.tsv	ms-proteomics;human	5
PXD035795	sandbox/bulk-lfq-dia-small/normalized/PXD035795.sdrf.tsv	ms-proteomics;plants	6
PXD041036	sandbox/bulk-lfq-dia-small/normalized/PXD041036.sdrf.tsv	ms-proteomics;vertebrates	6
PXD060055	sandbox/bulk-lfq-dia-small/normalized/PXD060055.sdrf.tsv	ms-proteomics;plants	6
PXD066627	sandbox/bulk-lfq-dia-small/normalized/PXD066627.sdrf.tsv	ms-proteomics;human;dia-acquisition	6
PXD066779	sandbox/bulk-lfq-dia-small/normalized/PXD066779.sdrf.tsv	ms-proteomics;dia-acquisition	6
PXD068894	sandbox/bulk-lfq-dia-small/normalized/PXD068894.sdrf.tsv	ms-proteomics;dia-acquisition	12
