id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD039882	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD039882; files/all n=7	Q0	10	Diplonema papillatum	7	1	raw	DDA	LFQ	Orbitrap Fusion	yes	yes	WT-SDRF.tsv	simple	1	ms-proteomics	none_in_pride	no	deposited: WT-SDRF.tsv
PXD076440	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD076440; files/all n=19	Q0	10	Danio rerio (zebrafish) (brachydanio rerio)	19	1	d.zip	DIA	LFQ	timsTOF Pro 2	yes	yes	SDRF.sdrf.tsv	simple	1	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	deposited: SDRF.sdrf.tsv
PXD049224	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD049224; files/all n=7	Q0	10	Mus musculus (mouse)	7	2	raw	DDA	LFQ	Orbitrap Fusion	yes	yes	sdrf.tsv	simple	2	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf.tsv
PXD069946	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069946; files/all n=6	Q0	10	Nicotiana tabacum (common tobacco)	6	2	raw	DIA	LFQ	Orbitrap Exploris 480	yes	yes	sdrf-plants_BP.tsv	simple	2	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf-plants_BP.tsv
PXD048381	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048381; files/all n=13	Q0	10	Bos taurus (bovine)	13	3	raw	DDA	LFQ	Q Exactive HF-X	yes	yes	SDRF.csv	simple	3	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.csv
PXD022725	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD022725; files/all n=12	Q0	10	Toxoplasma gondii me49;Homo sapiens (human)	12	4	raw	DDA	LFQ	Q Exactive HF-X	yes	yes	SDRF_ND10.tsv	simple	4	ms-proteomics	none_in_pride	no	deposited: SDRF_ND10.tsv
PXD038835	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD038835; files/all n=39	Q0	10	Fusarium oxysporum;Aspergillus transmontanensis	39	4	raw	DDA	LFQ	Q Exactive HF	yes	yes	sdrf.tsv	simple	4	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv
PXD050008	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD050008; files/all n=12	Q0	10	Homo sapiens (human)	12	4	wiff	DDA	LFQ	TripleTOF 5600	yes	yes	CS56_210224.sdrf.tsv	simple	4	ms-proteomics;human	none_in_pride	no	deposited: CS56_210224.sdrf.tsv
PXD032691	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD032691; files/all n=17	Q0	10	Abortiporus biennis	17	5	raw	DDA	LFQ	Q Exactive	yes	yes	sdrf_PXD032691.tsv	simple	5	ms-proteomics	none_in_pride	no	deposited: sdrf_PXD032691.tsv
PXD050316	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD050316; files/all n=14	Q0	10	Homo sapiens (human)	14	5	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF.txt	simple	5	ms-proteomics;human;cell-lines	none_in_pride	no	deposited: SDRF.txt
