id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD049224	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD049224; files/all n=7	Q0	10	Mus musculus (mouse)	7	2	raw	DDA	LFQ	Orbitrap Fusion	yes	yes	sdrf.tsv	simple	2	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf.tsv
PXD069946	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069946; files/all n=6	Q0	10	Nicotiana tabacum (common tobacco)	6	2	raw	DIA	LFQ	Orbitrap Exploris 480	yes	yes	sdrf-plants_BP.tsv	simple	2	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf-plants_BP.tsv
PXD048381	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048381; files/all n=13	Q0	10	Bos taurus (bovine)	13	3	raw	DDA	LFQ	Q Exactive HF-X	yes	yes	SDRF.csv	simple	3	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.csv
PXD022725	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD022725; files/all n=12	Q0	10	Toxoplasma gondii me49;Homo sapiens (human)	12	4	raw	DDA	LFQ	Q Exactive HF-X	yes	yes	SDRF_ND10.tsv	simple	4	ms-proteomics	none_in_pride	no	deposited: SDRF_ND10.tsv
PXD038835	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD038835; files/all n=39	Q0	10	Fusarium oxysporum;Aspergillus transmontanensis	39	4	raw	DDA	LFQ	Q Exactive HF	yes	yes	sdrf.tsv	simple	4	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv
PXD050008	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD050008; files/all n=12	Q0	10	Homo sapiens (human)	12	4	wiff	DDA	LFQ	TripleTOF 5600	yes	yes	CS56_210224.sdrf.tsv	simple	4	ms-proteomics;human	none_in_pride	no	deposited: CS56_210224.sdrf.tsv
PXD032691	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD032691; files/all n=17	Q0	10	Abortiporus biennis	17	5	raw	DDA	LFQ	Q Exactive	yes	yes	sdrf_PXD032691.tsv	simple	5	ms-proteomics	none_in_pride	no	deposited: sdrf_PXD032691.tsv
PXD050316	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD050316; files/all n=14	Q0	10	Homo sapiens (human)	14	5	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF.txt	simple	5	ms-proteomics;human;cell-lines	none_in_pride	no	deposited: SDRF.txt
PXD054113	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD054113; files/all n=18	Q0	10	Homo sapiens (human)	18	5	raw	DDA	LFQ	LTQ Orbitrap Elite	yes	yes	CETUXIMAB00001.sdrf.tsv	simple	5	ms-proteomics;human;cell-lines	none_in_pride	no	deposited: CETUXIMAB00001.sdrf.tsv
PXD035795	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD035795; files/all n=23	Q0	10	Arabidopsis thaliana (mouse-ear cress)	23	6	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF.txt	simple	6	ms-proteomics;plants	none_in_pride	no	deposited: SDRF.txt
PXD041036	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD041036; files/all n=18	Q0	10	Mus musculus (mouse)	18	6	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	sdrf.tsv	simple	6	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf.tsv
PXD041759	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD041759; files/all n=10	Q0	10	Vicia faba var. minor	10	6	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF_Muhovski_et_al_final.docx	simple	6	ms-proteomics	none_in_pride	no	deposited: SDRF_Muhovski_et_al_final.docx
PXD052817	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD052817; files/all n=23	Q0	10	Homo sapiens (human)	23	6	raw	DDA	LFQ	Orbitrap Fusion Lumos	yes	yes	SDRF.txt	simple	6	ms-proteomics;human	none_in_pride	no	deposited: SDRF.txt
PXD060055	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD060055; files/all n=18	Q0	10	Nicotiana tabacum (common tobacco)	18	6	raw	DDA	LFQ	Orbitrap Exploris 480	yes	yes	sdrf-plants_BP.sdrf.tsv	simple	6	ms-proteomics	none_in_pride	no	deposited: sdrf-plants_BP.sdrf.tsv
PXD066589	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066589; files/all n=19	Q0	10	Gallus gallus (chicken)	19	6	raw	DDA	LFQ	Q Exactive	yes	yes	SDRF.tsv	simple	6	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.tsv
PXD066627	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066627; files/all n=11	Q0	10	Homo sapiens (human)	11	6	raw	DIA	LFQ	Orbitrap Fusion Lumos	yes	yes	sdrf-cell-line.sdrf.tsv	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: sdrf-cell-line.sdrf.tsv
PXD066779	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD066779; files/all n=18	Q0	10	Synechocystis sp. (strain pcc 6803 / kazusa);Bacteria	18	6	raw	DIA	LFQ	Q Exactive HF	yes	yes	sdrf.csv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf.csv
PXD068623	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068623; files/all n=131	Q0	10	Mycobacterium tuberculosis	131	6	raw	DIA	LFQ	Orbitrap Fusion	yes	yes	sdrf.tsv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf.tsv
PXD068894	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068894; files/all n=96	Q0	10	Rhyparobia maderae	96	6	raw	DIA	LFQ	Q Exactive Plus	yes	yes	sdrf_complete.tsv	simple	6	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: sdrf_complete.tsv
PXD069676	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD069676; files/all n=15	Q0	10	Homo sapiens (human)	15	6	raw	DIA	LFQ	LTQ Orbitrap Elite;Orbitrap Astral	yes	yes	SDRFics.txt	simple	6	ms-proteomics;human;dia-acquisition	none_in_pride	no	deposited: SDRFics.txt
