id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD030447	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD030447; files/all n=40	Q0	8	Mus musculus (mouse)	40	19	wiff	DIA	LFQ	TripleTOF 6600	yes	yes	SDRF.tsv	moderate	19	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	deposited: SDRF.tsv
PXD045896	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD045896; files/all n=61	Q0	8	Mus musculus (mouse)	61	19	raw	DDA	LFQ	Orbitrap Eclipse	yes	yes	SDRF_PSSH.tsv;SDRF_Totalproteome.tsv	moderate	19	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF_PSSH.tsv;SDRF_Totalproteome.tsv
PXD068063	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068063; files/all n=23	Q0	8	Homo sapiens (human);Sus scrofa domesticus (domestic pig)	23	19	d.zip;raw	DIA	LFQ	timsTOF HT;Q Exactive HF	yes	yes	KAK386_SDRF_PRIDE.xlsx	moderate	19	ms-proteomics;dia-acquisition	none_in_pride	no	deposited: KAK386_SDRF_PRIDE.xlsx
PXD050212	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD050212; files/all n=62	Q0	7	Homo sapiens (human);Mus musculus (mouse)	62	19	raw	unknown	LFQ	LTQ Orbitrap Velos	yes	yes	SDRF.tsv	moderate	19	ms-proteomics	none_in_pride	no	deposited: SDRF.tsv
PXD027813	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD027813; files/all n=184	Q0	8	Giardia lamblia atcc 50803	184	20	raw	DDA	LFQ	Q Exactive Plus	yes	yes	sdrf.tsv	moderate	20	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv
PXD031000	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD031000; files/all n=410	Q0	6	Eulimnogammarus verrucosus;Eulimnogammarus cyaneus;Gammarus lacustris	410	16	raw	DDA	TMT/iTRAQ/SILAC	Q Exactive	yes	yes	sdrf.tsv	moderate	16	ms-proteomics	none_in_pride	no	deposited: sdrf.tsv
PXD053749	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD053749; files/all n=24	Q0	6	Homo sapiens (human)	24	16	raw	unknown	unknown	Orbitrap Ascend	yes	yes	sdrf.tsv	moderate	16	ms-proteomics;human	none_in_pride	no	deposited: sdrf.tsv
PXD065274	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD065274; files/all n=27	Q0	6	Mus musculus (mouse)	27	16	raw	DDA	unknown	Orbitrap Fusion Lumos;Q Exactive HF	yes	yes	6.sdrf.tsv	moderate	16	ms-proteomics;vertebrates	none_in_pride	no	deposited: 6.sdrf.tsv
PXD067153	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD067153; files/all n=21	Q0	6	Homo sapiens (human)	21	16	raw	DDA	TMT/iTRAQ/SILAC	Orbitrap Fusion	yes	yes	sdrf.tsv	moderate	16	ms-proteomics;human;cell-lines	none_in_pride	no	deposited: sdrf.tsv
PXD067220	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD067220; files/all n=21	Q0	6	Homo sapiens (human)	21	16	raw	DDA	TMT/iTRAQ/SILAC	Orbitrap Fusion	yes	yes	sdrf.tsv	moderate	16	ms-proteomics;human;cell-lines	none_in_pride	no	deposited: sdrf.tsv
PXD055781	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055781; files/all n=22	Q0	6	Mus musculus (mouse)	22	17	raw	unknown	TMT/iTRAQ/SILAC	Orbitrap Fusion Lumos	yes	yes	sdrf_liver_PTB.sdrf.tsv	moderate	17	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf_liver_PTB.sdrf.tsv
PXD023222	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD023222; files/all n=22	Q0	6	Mus musculus (mouse)	22	18	raw	DDA	TMT/iTRAQ/SILAC	Q Exactive HF	yes	yes	SDRF.tsv	moderate	18	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.tsv
PXD030748	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD030748; files/all n=56	Q0	6	Mus musculus (mouse)	56	18	raw	DDA	TMT/iTRAQ/SILAC	Orbitrap Eclipse	yes	yes	Stoilov_060821.sdrf.tsv	moderate	18	ms-proteomics;vertebrates	none_in_pride	no	deposited: Stoilov_060821.sdrf.tsv
PXD034334	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD034334; files/all n=24	Q0	6	Homo sapiens (human)	24	18	raw	DDA	TMT/iTRAQ/SILAC	Q Exactive HF	yes	yes	sdrf.txt	moderate	18	ms-proteomics;human	none_in_pride	no	deposited: sdrf.txt
PXD035918	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD035918; files/all n=231	Q0	6	Mus musculus (mouse)	231	18	raw	DDA	TMT/iTRAQ/SILAC	Exactive Plus	yes	yes	sdrf-tmt.tsv	moderate	18	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf-tmt.tsv
PXD048363	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD048363; files/all n=21	Q0	6	Mus musculus (mouse)	21	18	raw	unknown	unknown	Orbitrap Fusion Lumos	yes	yes	sdrf-Proteomic_Vaziri_et_al_2024.sdrf.tsv	moderate	18	ms-proteomics;vertebrates	none_in_pride	no	deposited: sdrf-Proteomic_Vaziri_et_al_2024.sdrf.tsv
PXD063670	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD063670; files/all n=25	Q0	6	Homo sapiens (human)	25	18	raw	DDA	unknown	Q Exactive HF	yes	yes	sdrf.tsv	moderate	18	ms-proteomics;human	none_in_pride	no	deposited: sdrf.tsv
PXD065028	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD065028; files/all n=21	Q0	6	Mus musculus (mouse)	21	18	raw	DDA	unknown	Q Exactive	yes	yes	SDRF.tsv	moderate	18	ms-proteomics;vertebrates	none_in_pride	no	deposited: SDRF.tsv
PXD073256	include	Submitter deposited an SDRF in PRIDE; import, validate, and improve	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD073256; files/all n=21	Q0	6	Homo sapiens (human)	21	18	d.zip	DDA	unknown	timsTOF Pro	yes	yes	sdrf.tsv	moderate	18	ms-proteomics;human	none_in_pride	no	deposited: sdrf.tsv
