id	label	reason	evidence	queue	priority_score	organism	n_files_total	n_raw	raw_extensions	acquisition_mode	quant_mode	instruments	has_pride_metadata_file	has_deposited_sdrf	metadata_filenames	design_complexity	estimated_sdrf_rows	templates	publication	already_annotated	notes
PXD047623	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD047623; files/all n=54	Q3	7	Homo sapiens (human)	54	0		DIA	LFQ	Bruker Daltonics instrument model	yes	yes	metadata.sdrf.tsv	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	53 archive(s); inspect the FTP listing before annotating
PXD047908	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD047908; files/all n=20	Q3	7	Mus musculus (mouse)	20	0		DIA	LFQ	Bruker Daltonics instrument model	yes	yes	metadata.sdrf.tsv	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	19 archive(s); inspect the FTP listing before annotating
PXD060523	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD060523; files/all n=12	Q3	7	Mus musculus (mouse)	12	0		DIA	LFQ	Bruker Daltonics instrument model	yes	yes	metadata.sdrf.tsv	simple	0	ms-proteomics;vertebrates;dia-acquisition;cell-lines	none_in_pride	no	10 archive(s); inspect the FTP listing before annotating
PXD064899	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD064899; files/all n=7	Q3	7	Botryllus schlosseri	7	0		DIA	LFQ	maXis	yes	yes	ML_SDRF.sdrf.tsv	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD068007	hold	Neither acquisition nor quantitation mode could be determined	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD068007; files/all n=8	Q3	7	Homo sapiens (human)	8	6	raw	unknown	unknown	Orbitrap Astral	yes	no	DesignPRIDE.xlsx	simple	6	ms-proteomics;human	none_in_pride	no	
PXD070160	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD070160; files/all n=30	Q3	7	Rattus norvegicus (rat)	30	0		DDA	LFQ	Orbitrap Exploris 240	yes	yes	sdrf-rat-secretome.tsv	simple	0	ms-proteomics;vertebrates	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD071140	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD071140; files/all n=14	Q3	7	Bos taurus (bovine)	14	0		DIA	LFQ	timsTOF fleX	yes	yes	sdrf-PXD071140.tsv	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	12 archive(s); inspect the FTP listing before annotating
PXD071471	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD071471; files/all n=9	Q3	7	Homo sapiens (human)	9	0		DIA	LFQ	timsTOF SCP	yes	yes	SDRF_pregnancy.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD071497	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD071497; files/all n=27	Q3	7	Homo sapiens (human)	27	0		DIA	LFQ	timsTOF fleX	yes	yes	sdrf-BAP1.sdrf	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	24 archive(s); inspect the FTP listing before annotating
PXD051392	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD051392; files/all n=101	Q3	6	Schizosaccharomyces pombe;Schizosaccharomyces pombe 927	101	0		DIA	LFQ	ZenoTOF 7600	yes	no	RNA_degradation_metadata.xlsx	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	97 archive(s); inspect the FTP listing before annotating
PXD051823	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD051823; files/all n=6	Q3	6	Mus musculus (mouse)	6	0		DIA	LFQ	TripleTOF 6600	yes	no	20220319_SWATH_sample.7z	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	3 archive(s); inspect the FTP listing before annotating
PXD055981	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD055981; files/all n=15	Q3	6	Saccharomyces cerevisiae (baker's yeast);Escherichia coli;Homo sapiens (human)	15	0		DIA	LFQ	timsTOF Ultra	yes	no	Experiment_design.xlsx	simple	0	ms-proteomics;dia-acquisition	none_in_pride	no	6 archive(s); inspect the FTP listing before annotating
PXD056459	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD056459; files/all n=8	Q3	6	Rattus norvegicus (rat)	8	0		DIA	LFQ	timsTOF Pro 2	yes	no	MetaData.txt	simple	0	ms-proteomics;vertebrates;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
PXD056492	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD056492; files/all n=12	Q3	6	Homo sapiens (human)	12	0		DIA	LFQ	timsTOF Pro 2	yes	no	B_192_sample_study_raw_data_part_2.zip;A_96_samples_study_raw_data.zip;B_192_sample_study_raw_data_part_1.zip	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	4 archive(s); inspect the FTP listing before annotating
PXD057120	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD057120; files/all n=23	Q3	6	Homo sapiens (human)	23	0		DIA	LFQ	TripleTOF 5600	yes	no	SampleAnnotation.xlsx	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	2 archive(s); inspect the FTP listing before annotating
PXD059015	hold	Acquisition files are bundled inside archives and are not listed individually	PRIDE https://www.ebi.ac.uk/pride/ws/archive/v3/projects/PXD059015; files/all n=10	Q3	6	Homo sapiens (human)	10	0		DIA	LFQ	timsTOF HT	yes	no	metadata.txt	simple	0	ms-proteomics;human;dia-acquisition	none_in_pride	no	1 archive(s); inspect the FTP listing before annotating
