source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190217_P0814_MR_JB_HA1_EThcD_R1	proteomic profiling by mass spectrometry	Lumos_190217_P0814_MR_JB_HA1_EThcD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190217_P0814_MR_JB_HA1_EThcD_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_191122_P0918_MR_JB_synthpeptides_lowEThcD_R1	proteomic profiling by mass spectrometry	Lumos_191122_P0918_MR_JB_synthpeptides_lowEThcD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_191122_P0918_MR_JB_synthpeptides_lowEThcD_R1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_191122_P0918_MR_JB_synthpeptides_HCD_R1	proteomic profiling by mass spectrometry	Lumos_191122_P0918_MR_JB_synthpeptides_HCD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_191122_P0918_MR_JB_synthpeptides_HCD_R1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190422_P0918_MR_JB_synthpeptides_lowEThcD_R1	proteomic profiling by mass spectrometry	Lumos_190422_P0918_MR_JB_synthpeptides_lowEThcD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190422_P0918_MR_JB_synthpeptides_lowEThcD_R1.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lara_190212_P0814_MR_JB_HD3_HCD_R1	proteomic profiling by mass spectrometry	Lara_190212_P0814_MR_JB_HD3_HCD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lara_190212_P0814_MR_JB_HD3_HCD_R1.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190705_P0918_MR_JB_synthpeptides_EThcD_R1	proteomic profiling by mass spectrometry	Lumos_190705_P0918_MR_JB_synthpeptides_EThcD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190705_P0918_MR_JB_synthpeptides_EThcD_R1.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190208_P0814_MR_JB_HA2_HCD_R1	proteomic profiling by mass spectrometry	Lumos_190208_P0814_MR_JB_HA2_HCD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190208_P0814_MR_JB_HA2_HCD_R1.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190225_P0814_MR_JB_HD1_lowEThcD_R1	proteomic profiling by mass spectrometry	Lumos_190225_P0814_MR_JB_HD1_lowEThcD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190225_P0814_MR_JB_HD1_lowEThcD_R1.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190225_P0814_MR_JB_HA2_lowEThcD_R1	proteomic profiling by mass spectrometry	Lumos_190225_P0814_MR_JB_HA2_lowEThcD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190225_P0814_MR_JB_HA2_lowEThcD_R1.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190225_P0814_MR_JB_HA3_EThcD_R2	proteomic profiling by mass spectrometry	Lumos_190225_P0814_MR_JB_HA3_EThcD_R2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190225_P0814_MR_JB_HA3_EThcD_R2.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lumos_190208_P0814_MR_JB_HD1_HCD_R1	proteomic profiling by mass spectrometry	Lumos_190208_P0814_MR_JB_HD1_HCD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lumos_190208_P0814_MR_JB_HD1_HCD_R1.raw	1	11	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
PXD021755-Sample-1	Homo sapiens	Cell culture	HCT116	epithelial	colorectal cancer	1	Lara_190212_P0814_MR_JB_HD1_HCD_R1	proteomic profiling by mass spectrometry	Lara_190212_P0814_MR_JB_HD1_HCD_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD021755/Lara_190212_P0814_MR_JB_HD1_HCD_R1.raw	1	12	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=unspecific cleavage;AC=MS:1001956	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1002631;NT=EThcD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0
