source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[culture model]	factor value[growth duration]
PXD063002-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	2	20221115_HCT116_2D_400ng_Rep02	proteomic profiling by mass spectrometry	20221115_HCT116_2D_400ng_Rep02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_2D_400ng_Rep02.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	2D monolayer	day 0
PXD063002-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	3	20221115_HCT116_2D_400ng_Rep03	proteomic profiling by mass spectrometry	20221115_HCT116_2D_400ng_Rep03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_2D_400ng_Rep03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	2D monolayer	day 0
PXD063002-Sample-6	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	20221115_HCT116_Day10_400ng_Rep01	proteomic profiling by mass spectrometry	20221115_HCT116_Day10_400ng_Rep01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_Day10_400ng_Rep01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	3D spheroid	day 10
PXD063002-Sample-4	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	2	20221115_HCT116_Day6_400ng_Rep02	proteomic profiling by mass spectrometry	20221115_HCT116_Day6_400ng_Rep02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_Day6_400ng_Rep02.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	3D spheroid	day 6
PXD063002-Sample-8	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	2	20221115_HCT116_Day14_400ng_Rep02	proteomic profiling by mass spectrometry	20221115_HCT116_Day14_400ng_Rep02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_Day14_400ng_Rep02.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	3D spheroid	day 14
PXD063002-Sample-8	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	3	20221115_HCT116_Day14_400ng_Rep03	proteomic profiling by mass spectrometry	20221115_HCT116_Day14_400ng_Rep03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_Day14_400ng_Rep03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	3D spheroid	day 14
PXD063002-Sample-6	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	2	20221115_HCT116_Day10_400ng_Rep02	proteomic profiling by mass spectrometry	20221115_HCT116_Day10_400ng_Rep02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_Day10_400ng_Rep02.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	3D spheroid	day 10
PXD063002-Sample-9	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	3	20221115_HCT116_Day16_400ng_Rep03	proteomic profiling by mass spectrometry	20221115_HCT116_Day16_400ng_Rep03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_Day16_400ng_Rep03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	3D spheroid	day 16
PXD063002-Sample-7	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	3	20221115_HCT116_Day12_400ng_Rep03	proteomic profiling by mass spectrometry	20221115_HCT116_Day12_400ng_Rep03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_Day12_400ng_Rep03.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	3D spheroid	day 12
PXD063002-Sample-1	Homo sapiens	Epithelial cell	HCT116	epithelial	colorectal cancer	1	20221115_HCT116_2D_400ng_Rep01	proteomic profiling by mass spectrometry	20221115_HCT116_2D_400ng_Rep01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063002/20221115_HCT116_2D_400ng_Rep01.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Trypsin;AC=MS:1001251	not available	not available	not available	AC=MS:1000422;NT=HCD	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=human;VV=v1.1.0	2D monolayer	day 0
